2018,Monday,University Place,Motor Vehicle Crash - Pedestrian,17:42:42
2018,Monday,Washington Road,Motor Vehicle Crash - Pedestrian,21:19:11
2018,Monday,Park Place,Motor Vehicle Crash - Pedestrian,18:53:51
2018,Monday,North Harrison Street,Motor Vehicle Crash - Pedestrian,17:38:30
2018,Friday,Nassau Street,Motor Vehicle Crash - Pedestrian,23:35:28
2018,Sunday,Witherspoon Street,Motor Vehicle Crash - Pedestrian,9:21:45
2018,Wednesday,Bunn Drive,Motor Vehicle Crash - Bicycle,20:35:58
2018,Friday,Mount Lucas Road,Motor Vehicle Crash - Bicycle,14:57:58
2018,Monday,Vandeventer Avenue,Motor Vehicle Crash - Bicycle,13:56:47
2018,Saturday,Birch Avenue,Motor Vehicle Crash - Bicycle,18:04:22
2018,Tuesday,Nassau Street,Motor Vehicle Crash - Bicycle,18:15:31
2018,Wednesday,Alexander Street,Motor Vehicle Crash - Bicycle,15:28:14
2018,Wednesday,John Street,Motor Vehicle Crash - Bicycle,22:52:08
2018,Tuesday,South Harrison Street,Motor Vehicle Crash - Bicycle,15:46:11
2018,Monday,Meetinghouse Court,Motor Vehicle Crash - No Injury,12:59:36
2018,Tuesday,Nassau Street,Motor Vehicle Crash - No Injury,08:14:11
2018,Tuesday,Nassau Street,Motor Vehicle Crash - No Injury,13:31:38
2018,Tuesday,Hamilton Avenue,Motor Vehicle Crash - No Injury,17:21:34
2018,Wednesday,Spring Street,Motor Vehicle Crash - No Injury,12:37:15
2018,Wednesday,State Road,Motor Vehicle Crash - No Injury,12:36:10
2018,Wednesday,Guyot Avenue,Motor Vehicle Crash - No Injury,15:22:56
2018,Wednesday,State Road,Motor Vehicle Crash - Injury,19:26:05
2018,Wednesday,State Road,Motor Vehicle Crash - Injury,19:28:05
2018,Thursday,North Harrison Street,Motor Vehicle Crash - No Injury,07:48:46
2018,Thursday,Great Road,Motor Vehicle Crash - No Injury,08:48:30
2018,Friday,Juniper Row,Motor Vehicle Crash - No Injury,12:10:58
2018,Friday,State Road,Motor Vehicle Crash - No Injury,12:20:24
2018,Friday,Pretty Brook Road,Motor Vehicle Crash - No Injury,16:51:25
2018,Saturday,Mercer Street,Motor Vehicle Crash - No Injury,12:49:05
